month,year,bust,cupsize,waist,hips,height,weight,bmi,waist2hip,model_of_the_year
December,1953,36,4,24,36,65,118,19.63408284,0.666666667,
January,1954,36,3,26,37,65,100,16.63905325,0.702702703,
February,1954,36,3,23,34,64,113,19.39428711,0.676470588,
March,1954,34,3,24,35,66,118,19.043618,0.685714286,
April,1954,36,3,23,34,64,113,19.39428711,0.676470588,
May,1954,36,4,23,38,65,120,19.96686391,0.605263158,
June,1954,36,3,26,37,65,100,16.63905325,0.702702703,
July,1954,36,3,26,37,66,130,20.98025712,0.702702703,
August,1954,38,4,24,35,66,118,19.043618,0.685714286,
September,1954,34,3,24,37,64,100,17.16308594,0.648648649,
October,1954,36,4,24,36,64,105,18.02124023,0.666666667,
November,1954,34,4,24,35,65.5,125,20.48248937,0.685714286,
December,1954,36,3,24,36,65,121,20.13325444,0.666666667,
January,1955,36,3,23,35.5,65.5,128,20.97406911,0.647887324,
February,1955,40,4,21,35,68,128,19.46020761,0.6,
April,1955,36,3,23,34,64,113,19.39428711,0.676470588,
May,1955,39,3,23,37,62,100,18.28824142,0.621621622,
June,1955,39,4,25,35,66,115,18.55945822,0.714285714,
July,1955,36,4,24,36,65.5,115,18.84389022,0.666666667,
August,1955,38,5,22,36,64,110,18.87939453,0.611111111,
September,1955,37,3,23,36,63,103,18.2436382,0.638888889,
October,1955,35,3,23,35,64,110,18.87939453,0.657142857,
November,1955,33,2,21,33,65,102,16.97183432,0.636363636,
December,1955,36,4,24,36,65.5,115,18.84389022,0.666666667,
January,1956,38,4,24,37,64,117,20.08081055,0.648648649,
February,1956,39,3,23,37,62,105,19.20265349,0.621621622,
March,1956,34,3,21,34,63,100,17.71227009,0.617647059,
April,1956,36,3,22,35,65.5,120,19.66318979,0.628571429,
May,1956,36,4,23,35,66,122,19.68916437,0.657142857,
June,1956,36,3,21,32,64,108,18.53613281,0.65625,
July,1956,36,5,24,34,62,105,19.20265349,0.705882353,
August,1956,37,4,24,36,67,122,19.10581421,0.666666667,
September,1956,38,4,24,35,66,115,18.55945822,0.685714286,
October,1956,36,4,24,36,65.5,115,18.84389022,0.666666667,
November,1956,39,4,22,36,63,128,22.67170572,0.611111111,
December,1956,35,3,23,35,62,106,19.3855359,0.657142857,
January,1957,36,3,25,36,64,120,20.59570313,0.694444444,
February,1957,35,3,23,35,65,110,18.30295858,0.657142857,
March,1957,36,3,20,36,67,120,18.79260414,0.555555556,
April,1957,35,3,25,35,65,121,20.13325444,0.714285714,
May,1957,36,3,23,36,65,120,19.96686391,0.638888889,
June,1957,35,,22,35,64,120,20.59570313,0.628571429,
July,1957,38,4,23,34,63,120,21.25472411,0.676470588,
August,1957,36,3,23,33,67,110,17.2265538,0.696969697,
September,1957,39,3,23,37,64,117,20.08081055,0.621621622,
October,1957,38,6,25,35,68,110,16.72361592,0.714285714,
November,1957,34,3,22,33,62,98,17.92247659,0.666666667,
December,1957,35,2,21,35,64,111,19.05102539,0.6,
January,1958,34,2,22,34,65,100,16.63905325,0.647058824,
February,1958,36,3,26,37,65,115,19.13491124,0.702702703,
March,1958,38,3,24,35,67,115,18.00957897,0.685714286,
April,1958,39.5,5,26,36,67.5,130,20.05816187,0.722222222,
May,1958,38,4,21,34,69,124,18.30959882,0.617647059,
June,1958,40,4,20,36,65,120,19.96686391,0.555555556,
July,1958,34,3,23,35,61,110,20.78204784,0.657142857,
August,1958,37,4,24,36,65,115,19.13491124,0.666666667,
September,1958,39,4,19,33,62,100,18.28824142,0.575757576,
October,1958,34,3,22,34,66,121,19.52777778,0.647058824,
October,1958,34,4,24,35,65,119,19.80047337,0.685714286,
November,1958,34,3,22.5,34,65,118,19.63408284,0.661764706,
December,1958,34,3,24,34,66.5,118,18.75832438,0.705882353,
January,1959,37,4,22,36,66,119,19.20500459,0.611111111,0
February,1959,40,4,22,37,68.5,135,20.22590442,0.594594595,0
March,1959,36,4,24,36,64,112,19.22265625,0.666666667,0
April,1959,36,4,24,36,65,125,20.79881657,0.666666667,0
May,1959,36,4,24,36,66,124,20.01193756,0.666666667,0
June,1959,38,3,26,38,68,115,17.48378028,0.684210526,0
July,1959,36,3,24,36,62,105,19.20265349,0.666666667,0
August,1959,34,3,25,35,65,123,20.4660355,0.714285714,0
September,1959,34,3,24,34,66,110,17.75252525,0.705882353,0
October,1959,39,6,25,37,68,130,19.76427336,0.675675676,0
November,1959,36,3,22,36,63.5,115,20.0496001,0.611111111,0
December,1959,35,4,20,35,64,110,18.87939453,0.571428571,1
January,1960,37,4,22,36,65,118,19.63408284,0.611111111,0
February,1960,37,3,23,36,67,130,20.35865449,0.638888889,0
March,1960,37,4,24,36,68,126,19.15614187,0.666666667,0
April,1960,38,4,23,36.5,64,112,19.22265625,0.630136986,1
May,1960,36,3,23,36,65,125,20.79881657,0.638888889,0
June,1960,36,3,20,36,62,108,19.75130073,0.555555556,0
July,1960,37,4,22,35,65,110,18.30295858,0.628571429,0
August,1960,34,3,23,35,64,120,20.59570313,0.657142857,0
