"Year","Playmate","Age at PMOY","Bust","Waist","Hips","Height","Weight"
"2006"," Kara Monaco",23,34,24,34,66,110
"2005"," Tiffany Fallon",31,34,23,35,67,118.5
"2004"," Carmella DeCesare",21,34,24,27,68,118
"2003"," Christina Santiago",21,34,24,33,65,108
"2002"," Dalene Kurtis",24,34,24,35,65,112
"2001"," Brande Roderick",26,35,24,34,67,117
"2000"," Jodi Ann Paterson",24,32,23,34.5,65,112
"1999"," Heather Kozar",23,36,24,35,68,117
"1998"," Karen McDougal",27,34,24,34,68,125
"1997"," Victoria Silvstedt",22,35,25,37,70,139
"1996"," Stacy Sanches",22,34,24,36,70,130
"1995"," Julie Lynn Cialini",24,34,24,35,71,126
"1994"," Jenny McCarthy",21,38,24,34,67,120
"1993"," Anna Nicole Smith",25,38,26,38,71,140
"1992"," Corinna Harney",20,34,22,34,63,105
"1991"," Lisa Matthews",21,37,24,36,69,120
"1990"," Reneé Tenison",21,36,23,32,66,112
"1989"," Kimberley Conrad",25,36,24,36,69,122
"1988"," India Allen",23,35,24,34,71,127
"1987"," Donna Edmondson",21,36,23,35,70,127
"1986"," Kathy Shower",33,35,24,35,69,122
"1985"," Karen Velez",24,37,23,35,67,118
"1984"," Barbara Edwards",23,35,23,34,65,105
"1983"," Marianne Gravatte",23,34,21,32,68,105
"1982"," Shannon Tweed",25,36,25,36,70,128
"1981"," Terri Welles",24,36,24,36,69,120
"1980"," Dorothy Stratten",20,36,24,36,69,123
"1979"," Monique St. Pierre",25,36,24,36,67,124
"1978"," Debra Jo Fondren",23,35,24,36,64,114
"1977"," Patti McGuire",25,35,23,35,65,115
"1976"," Lillian Müller",23,36,24,35,68,125
"1975"," Marilyn Lange",23,39,24,36,67,130
"1974"," Cyndi Wood",23,34,22,34,65,103
"1973"," Marilyn Cole",24,36,24,35,68,119
"1972"," Liv Lindeland",26,36,22.5,34,67.5,108
"1971"," Sharon Clark",27,35,24,36,66,115
"1970"," Claudia Jennings",20,35,23,36,66,115
"1969"," Connie Kreski",22,35,23,36,65,118
"1968"," Angela Dorian",23,36,21,35,65,109
"1967"," Lisa Baker",23,35,23,35,68,132
"1966"," Allison Parks",22,36,24,36,66,117
"1965"," Jo Collins",19,36,24,36,64,112
"1964"," Donna Michelle",18,38,22,37,64,118
"1963"," June Cochran",21,36,20,34,62,102
"1962"," Christa Speck",19,38,22,36,65,122
"1961"," Linda Gamble",21,38,23,37,64,112
"1960"," Ellen Stratton",20,35,20,35,64,110
